data,hora,evento,local
6 de janeiro de 2015,11:30,"O Presidente da República recebe, em audiência, o Presidente da Fundação Centro Cultural de Belém, Prof. António Lamas ",""
6 de janeiro de 2015,18:00,"O Presidente da República  recebe o “Grupo de Cantares dos Reis Cercicanta”, Estarreja, o Grupo de Cavaquinhos de Passos de Silgueiros, Viseu, e o Grupo Coral “Amigos do Cante”, Alvito, que cantarão “as Janeiras” no Palácio de Belém ",""
7 de janeiro de 2015,11:30,"O Presidente da República recebe, em audiência, a Direção da Associação de Energias Renováveis (APREN)",""
7 de janeiro de 2015,18:30,O Presidente da República recebe os cumprimentos de Ano Novo dos Embaixadores de Portugal acreditados junto de vários Estados e organizações internacionais ,""
8 de janeiro de 2015,11:30,"O Presidente da República recebe, em audiência, a Direção da Associação dos Auditores dos Cursos de Defesa Nacional",""
8 de janeiro de 2015,15:30,O Presidente da República agracia Jorge Listopad com o grau de Grande-Oficial da Ordem do Infante D. Henrique,""
8 de janeiro de 2015,17:00,O Presidente da República recebe o Primeiro-Ministro para a reunião semanal,""
9 de janeiro de 2015,10:00,"O Presidente da República visita o Instituto Hidrográfico
","		Entrada da Rua Garcia de Orta, Lisboa"
12 de janeiro de 2015,11:30,"O Presidente da República recebe, em audiência, o Diretor do Mecanismo Europeu de Estabilidade, Klaus Regling ",""
14 de janeiro de 2015,"","Deslocação do Presidente da República à República de Moçambique, por ocasião da Investidura do Presidente Filipe Nyusi
 

 
14 a 16 de janeiro de 2015",""
14 de janeiro de 2015,12:00,"Encontro do Presidente da República com o Presidente cessante da República de Moçambique, Armando Guebuza",""
14 de janeiro de 2015,15:40,"Visita à empresa MCM - Mozambique Cotton Manufacturers, em Marracuene",""
14 de janeiro de 2015,18:30,Encontro com empresários portugueses estabelecidos em Moçambique ,""
15 de janeiro de 2015,"","Deslocação do Presidente da República à República de Moçambique, por ocasião da Investidura do Presidente Filipe Nyusi",""
15 de janeiro de 2015,10:00,"Cerimónia de Investidura do Presidente da República de Moçambique, Eng. Filipe Nyusi
","	Praça da Independência, Maputo"
15 de janeiro de 2015,13:30,"Receção Oficial
","	Palácio da Ponta Vermelha, Maputo"
15 de janeiro de 2015,16:30,Visita ao Instituto do Coração de Maputo,""
16 de janeiro de 2015,"","Deslocação do Presidente da República à República de Moçambique, por ocasião da Investidura do Presidente Filipe Nyusi",""
