data,hora,evento,local
23 de janeiro de 2011,11:45,"O Presidente da República exerce o direito de voto nas Eleições Presidenciais
","Escola EB 2,3 Bartolomeu de Gusmão, Rua da Bela Vista à Lapa, Lisboa"
28 de janeiro de 2011,17:00,O Presidente da República recebe o Primeiro-Ministro para a reunião semanal,""
28 de janeiro de 2011,21:00,"O Presidente da República assiste ao espectáculo “Sombras”, de Ricardo Pais
","Teatro Municipal de São Luiz, Lisboa"
31 de janeiro de 2011,10:30,"O Presidente da República recebe, em audiência, o Governador do Banco de Portugal, Dr. Carlos Costa",""
1 de fevereiro de 2011,10:30,"O Presidente da República recebe, em audiência, o Presidente da Caixa Geral de Depósitos, Eng. Fernando Faria de Oliveira",""
1 de fevereiro de 2011,11:30,"O Presidente da República recebe, em audiência, o Presidente do Banco Espírito Santo, Dr. Ricardo Salgado",""
1 de fevereiro de 2011,15:30,"O Presidente da República recebe, em audiência, o Presidente do Banco Português de Investimento, Dr. Fernando Ulrich",""
1 de fevereiro de 2011,17:00,"O Presidente da República recebe, em audiência, o Presidente do Banco Comercial Português, Dr. Carlos Santos Ferreira",""
2 de fevereiro de 2011,10:30,"O Presidente da República recebe, em audiência, o Presidente do Banco Santander Totta, Dr. Nuno Amado",""
2 de fevereiro de 2011,11:30,"O Presidente da República recebe, em audiência, o Presidente do Banif, Dr. Joaquim Filipe Marques dos Santos",""
2 de fevereiro de 2011,15:30,"O Presidente da República recebe, em audiência, o Presidente do Montepio Geral, Dr. Tomás Correia",""
2 de fevereiro de 2011,17:00,"O Presidente da República recebe, em audiência, o Presidente da Caixa Central de Crédito Agrícola Mútuo, Dr. João Costa Pinto",""
3 de fevereiro de 2011,11:30,"O Presidente da República recebe, em audiência, a Direcção da Confederação Geral dos Trabalhadores Portugueses (CGTP)",""
3 de fevereiro de 2011,12:30,"O Presidente da República recebe o Chefe do Estado-Maior General das Forças Armadas, General Luís Vasco Valença Pinto, que apresentará cumprimentos de despedida, ao cessar as suas funções.
Seguir-se-á um almoço com o General Valença Pinto e os restantes chefes militares.",""
3 de fevereiro de 2011,16:30,"O Presidente da República recebe, em audiência, a Direcção da União Geral dos Trabalhadores (UGT)",""
3 de fevereiro de 2011,18:30,"O Presidente da República recebe, em audiência, a Direcção da Confederação da Indústria Portuguesa (CIP)",""
4 de fevereiro de 2011,10:30,"O Presidente da República recebe, em audiência, a Direcção da Confederação do Comércio e Serviços de Portugal (CCP)",""
4 de fevereiro de 2011,11:30,"O Presidente da República recebe, em audiência, a Direcção da Confederação dos Agricultores de Portugal (CAP)",""
4 de fevereiro de 2011,15:30,"O Presidente da República recebe, em audiência, o Chefe do Estado-Maior da Força Aérea, General Luís Araújo",""
4 de fevereiro de 2011,17:00,"O Presidente da República recebe, em audiência, a Direcção da Confederação Portuguesa de Construção e Imobiliário (CPCI)",""
4 de fevereiro de 2011,18:00,"O Presidente da República recebe, em audiência, a Direcção da Confederação do Turismo Português (CTP)",""
7 de fevereiro de 2011,12:00,"O Presidente da República confere posse ao Chefe do Estado-Maior General das Forças Armadas, General Luís Evangelista Esteves de Araújo",""
8 de fevereiro de 2011,16:30,"O Presidente da República recebe, em audiência, o Ministro da Defesa Nacional",""
10 de fevereiro de 2011,"",Visita Oficial a Portugal do Presidente da República Federal da Alemanha e Senhora Bettina Wulff,""
10 de fevereiro de 2011,19:00,"Chegada do Presidente da República Federal da Alemanha e da Senhora Bettina Wulff ao Palácio de Belém

Fotografia Oficial
Assinatura do Livro de Honra
",Sala das Bicas
10 de fevereiro de 2011,19:15,Encontro do Presidente da República e Dr.ª Maria Cavaco Silva com o Presidente da República Federal da Alemanha e Senhora Bettina Wulff,""
10 de fevereiro de 2011,19:20,Encontro do Presidente da República com o Presidente da República Federal da Alemanha,""
10 de fevereiro de 2011,20:00,Declarações dos Chefes de Estado à Comunicação Social,""
10 de fevereiro de 2011,20:30,"Banquete oferecido pelo Presidente da República e Dr.ª Maria Cavaco Silva em honra do Presidente da República Federal da Alemanha e Senhora Bettina Wulff
",Palácio da Ajuda
11 de fevereiro de 2011,10:30,O Presidente da República e o Presidente da República Federal da Alemanha visitam a Autoeuropa,""
11 de fevereiro de 2011,17:00,O Presidente da República recebe o Primeiro-Ministro para a reunião semanal,""
14 de fevereiro de 2011,11:00,"O Presidente da República recebe, em audiência, o Presidente da Comissão Europeia, Dr. José Manuel Durão Barroso",""
15 de fevereiro de 2011,16:30,"O Presidente da República recebe, em audiência, o Ministro de Estado e das Finanças",""
17 de fevereiro de 2011,16:00,O Presidente da República recebe o Primeiro-Ministro para a reunião semanal,""
18 de fevereiro de 2011,11:30,"O Presidente da República recebe, em audiência, o Presidente do Parlamento Europeu, Jerzy Buzek",""
21 de fevereiro de 2011,11:30,"O Presidente da República recebe, em audiência, o Presidente do Tribunal de Contas",""
23 de fevereiro de 2011,11:30,"O Presidente da República recebe, em audiência, as direcções da Associação Nacional de Municípios Portugueses (ANMP) e das Associações de Municípios das Regiões Autónomas dos Açores e da Madeira",""
23 de fevereiro de 2011,15:30,"O Presidente da República recebe, em audiência, o Ministro dos Negócios Estrangeiros de Marrocos, Taieb Fassi Fihri",""
23 de fevereiro de 2011,16:30,"O Presidente da República confere posse ao Chefe do Estado-Maior da Força Aérea, Tenente-General José António de Magalhães Araújo Pinheiro",""
24 de fevereiro de 2011,"",O Presidente da República recebe as cartas credenciais de novos Embaixadores em Portugal,""
24 de fevereiro de 2011,10:00,"Embaixador do Kuwait, Sulaiman Ibraheen AlMerjan",""
24 de fevereiro de 2011,10:30,"Embaixadora da Eslovénia, Senhora Bernarda Gradisnik",""
24 de fevereiro de 2011,11:00,"Embaixadora de Chipre, Senhora Thalia Petrides",""
24 de fevereiro de 2011,11:30,"Embaixador da Hungria, Norbert Konkoly",""
24 de fevereiro de 2011,12:00,"Embaixadora da África do Sul, Senhora Keitumetse S.T. Matthews",""
24 de fevereiro de 2011,12:30,"Embaixadores Não-Residentes:

 - Embaixadora da Nova Zelândia, Senhora Rosemary Banks
 - Embaixadora da Jamaica, Senhora Marcia Gilbert-Roberts
 - Embaixador de El Salvador, Francisco Galindo Velez
 - Embaixador de Singapura, Tan York Chor",""
25 de fevereiro de 2011,11:00,"O Presidente da República recebe os cumprimentos de Ano Novo do Corpo Diplomático acreditado em Portugal, proferindo uma intervenção
",Palácio de Queluz
25 de fevereiro de 2011,15:30,"O Presidente da República recebe, em audiência, o Reitor da Universidade de Coimbra, Prof. Fernando Seabra Santos",""
25 de fevereiro de 2011,17:00,O Presidente da República recebe o Primeiro-Ministro para a reunião semanal,""
28 de fevereiro de 2011,11:00,"O Presidente da República preside à inauguração do Laboratório de Nanofabricação da Faculdade de Ciências e Tecnologia da Universidade Nova de Lisboa
",Campus da Caparica da FCT-UNL
28 de fevereiro de 2011,15:30,"O Presidente da República recebe, em audiência, o Secretário-Geral do Sistema de Segurança Interna, Juiz Conselheiro Mário Mendes",""
1 de março de 2011,11:30,"O Presidente da República recebe, em audiência, a direcção da Câmara de Comércio e Indústria do Rio de Janeiro",""
1 de março de 2011,16:30,"O Presidente da República recebe, em audiência, o Presidente do Supremo Tribunal de Justiça, Juiz Conselheiro Luís António Noronha do Nascimento",""
2 de março de 2011,11:30,"O Presidente da República recebe, em audiência, o Presidente da Agência para o Investimento e Comércio Externo de Portugal - AICEP, Dr. Basílio Horta",""
3 de março de 2011,17:00,O Presidente da República recebe o Primeiro-Ministro para a reunião semanal,""
9 de março de 2011,"",Dia da Tomada de Posse do Presidente da República,""
9 de março de 2011,11:45,"Chegada do Presidente da República e da Dra. Maria Cavaco Silva ao Cais de Alcântara
- Embarque no “NRP Almirante Gago Coutinho”
- Visita ao Navio Hidro-Oceanográfico “NRP Almirante Gago Coutinho”",""
9 de março de 2011,12:10,Chegada dos Jovens Líderes convidados pelo Presidente da República ao Cais de Alcântara e embarque no “NRP Sagres”,""
9 de março de 2011,12:20,"Desembarque do Presidente da República e da Dra. Maria Cavaco Silva do “NRP Almirante Gago Coutinho” 
- Visualização do ROV (submersível não tripulado) “Luso” no cais, junto ao navio, com explicação das suas potencialidades",""
9 de março de 2011,12:35,"Embarque no “NRP Sagres”, com Honras Militares prestadas pela guarnição
- O Presidente da República e a Dra. Maria Cavaco Silva encontram-se com os Jovens Líderes
- Breves palavras do Presidente da República aos Jovens Líderes",""
9 de março de 2011,12:50,"Almoço do Presidente da República e da Dra. Maria Cavaco Silva com os Jovens Líderes, no tombadilho 
- Desembarque do Presidente da República e da Dra. Maria Cavaco Silva
- Honras Militares",""
9 de março de 2011,14:15,Partida do Presidente da República e da Dra. Maria Cavaco Silva,""
9 de março de 2011,15:15,"Chegada do Presidente da República e da Dra. Maria Cavaco Silva ao Palácio de S. Bento
- Honras Militares",""
9 de março de 2011,15:30,"Sessão Solene de Tomada de Posse do Presidente da República
- Leitura da declaração de compromisso, juramento e assinatura do Auto de Posse
- Alocução do Presidente da República
- Sessão de Cumprimentos ao Presidente da República
- Honras Militares",""
9 de março de 2011,17:40,"Partida do Presidente da República e Dra. Maria Cavaco Silva para o Palácio de Belém, com escolta motorizada da Guarda Nacional Republicana",""
9 de março de 2011,17:50,"Chegada do Presidente da República e da Dra. Maria Cavaco Silva ao Palácio de Belém
- Honras Militares
- Entrada do Presidente da República e da Dra. Maria Cavaco Silva na Sala das Bicas
- Apresentação de cumprimentos pelos membros das Casas Civil e Militar do Presidente da República
- Entrega das insígnias da Banda das Três Ordens ao Presidente da República pelo Secretário-Geral das Ordens Honoríficas",""
9 de março de 2011,19:00,Recepção oferecida pelo Presidente da República e Dra. Maria Cavaco Silva no Palácio de Belém,""
14 de março de 2011,11:30,"O Presidente da República recebe, em audiência, a direcção da Ordem dos Médicos",""
15 de março de 2011,12:30,"O Presidente da República preside à Cerimónia de Homenagem aos Combatentes, por ocasião do 50º aniversário do início da Guerra em África, proferindo uma intervenção
","Forte do Bom Sucesso, Belém, Lisboa"
16 de março de 2011,15:00,"O Presidente da República preside à Sessão Solene de Abertura do Ano Judicial
","Supremo Tribunal de Justiça, Lisboa"
17 de março de 2011,11:00,"O Presidente da República recebe, em audiência, o Presidente do Partido Social Democrata, Dr. Pedro Passos Coelho",""
17 de março de 2011,12:30,"O Presidente da República recebe, em audiência, os alunos premiados do concurso “Pinta os teus Direitos”, organizado pela Câmara Municipal de Felgueiras, por ocasião do Dia Mundial da Criança 2010 e do 50º aniversário da Declaração Universal dos Direitos da Criança",""
18 de março de 2011,11:30,"O Presidente da República recebe, em audiência, a Direcção da Ordem dos Farmacêuticos",""
18 de março de 2011,17:00,O Presidente da República recebe o Primeiro-Ministro para a reunião semanal,""
18 de março de 2011,18:00,O Presidente da República preside à reunião do Conselho Superior de Defesa Nacional,""
21 de março de 2011,11:30,"O Presidente da República recebe, em audiência, a Direcção da Câmara de Comércio Luso-Britânica",""
22 de março de 2011,15:45,"O Presidente da República preside à Sessão Solene Comemorativa do Centenário da Universidade do Porto
",Reitoria da Universidade do Porto
23 de março de 2011,11:30,"O Presidente da República recebe, em audiência, o Secretariado da União das Misericórdias Portuguesas",""
23 de março de 2011,19:00,O Presidente da República recebe o Primeiro-Ministro para a reunião semanal,""
24 de março de 2011,11:30,"O Presidente da República recebe, em audiência, a direcção da Ordem dos Arquitectos",""
24 de março de 2011,15:30,"O Presidente da República recebe, em audiência, o Ministro da Defesa Nacional, Doutor Augusto Santos Silva",""
24 de março de 2011,16:30,"O Presidente da República recebe, em audiência, o Governador do Banco de Portugal, Dr. Carlos Costa",""
25 de março de 2011,"","O Presidente da República recebe, em audiência, nos termos constitucionais, os partidos representados na Assembleia da República:",""
25 de março de 2011,09:30,Partido Ecologista “Os Verdes”,""
25 de março de 2011,10:30,Partido Comunista Português,""
25 de março de 2011,12:40,Bloco de Esquerda,""
25 de março de 2011,15:00,Centro Democrático Social-Partido Popular,""
25 de março de 2011,16:00,Partido Social Democrata,""
25 de março de 2011,17:30,Partido Socialista,""
25 de março de 2011,19:00,"O Presidente da República visita a exposição “Ordem de Compra”, por ocasião da sua inauguração
","Palácio Quintela, Lisboa"
28 de março de 2011,12:00,"O Presidente da República recebe, em audiência, o Presidente da Assembleia da República, Dr. Jaime Gama.",""
28 de março de 2011,"",Visita Oficial a Portugal de Suas Altezas Reais o Príncipe de Gales e a Duquesa da Cornualha,""
28 de março de 2011,15:00,"Chegada do Príncipe de Gales e da Duquesa da Cornualha ao Palácio de Belém

- Apresentação de cumprimentos de boas-vindas pelo Presidente da República e Dra. Maria Cavaco Silva
- Honras Militares prestadas pelo Esquadrão Presidencial da Guarda Nacional Republicana
- Hinos Nacionais, executados pela Banda da GNR
- Saudação à Bandeira Nacional
- Revista à Guarda de Honra

- Foto oficial dos dois casais
- Assinatura do Livro de Honra
",Sala das Bicas
28 de março de 2011,15:15,Encontro do Presidente da República e da Dra. Maria Cavaco Silva com o Príncipe de Gales e a Duquesa da Cornualha,""
28 de março de 2011,15:20,Encontro do Presidente da República com o Príncipe de Gales,""
28 de março de 2011,20:45,"Banquete em honra do Príncipe de Gales e da Duquesa da Cornualha oferecido pelo Presidente da República e Dra. 
Maria Cavaco Silva",""
29 de março de 2011,11:30,"O Presidente da República preside à XVI Cerimónia de Entrega do Prémio Norte-Sul à ex-Comissária das Nações Unidas para os Direitos Humanos, a canadiana Louise Arbour, e ao ex-Presidente do Brasil, Luiz Inácio Lula da Silva.
 
 ","Sala do Senado, Assembleia da República
"
29 de março de 2011,13:00,"O Presidente da República oferece um almoço aos laureados com o Prémio Norte-Sul, Louise Arbour e Luiz Inácio Lula da Silva.
 
",Palácio de Belém
30 de março de 2011,10:15,"O Presidente da República assiste à Cerimónia de Doutoramento Honoris Causa, pela Faculdade de Direito da Universidade de Coimbra, do ex-Presidente da República Federativa do Brasil, Luiz Inácio Lula da Silva.
 
","Sala dos Capelos, Universidade de Coimbra"
31 de março de 2011,14:50,O Presidente da República confere posse aos cinco membros do Conselho de Estado por si designados,""
31 de março de 2011,15:00,O Presidente da República preside à reunião do Conselho de Estado,""
1 de abril de 2011,15:30,"O Presidente da República recebe, em audiência, o Presidente da República de Cabo Verde, Pedro Pires.",""
1 de abril de 2011,19:00,"O Presidente da República participa na inauguração do Onyria Marinha Edition Hotel & Thalasso
 
","Quinta da Marinha, Cascais"
2 de abril de 2011,"",Visita ao Concelho da Batalha,""
2 de abril de 2011,11:15,"Sessão na Câmara Municipal da Batalha
","Salão Nobre, Câmara Municipal da Batalha"
2 de abril de 2011,12:00,Inauguração do MCCB-Museu da Comunidade Concelhia da Batalha,""
2 de abril de 2011,"",Visita ao Concelho de Paços de Ferreira,""
2 de abril de 2011,16:45,"Apresentação da iniciativa Rede Concelhia para o Emprego e inauguração de duas unidades industriais (Móveis Costa Pereira e ADA-Confort)
",Associação Empresarial de Paços de Ferreira no Parque de Exposições da Capital do Móvel
2 de abril de 2011,17:35,Inauguração da Fábrica de Móveis Costa Pereira,""
2 de abril de 2011,18:15,Inauguração da Fábrica da ADA Confort,""
5 de abril de 2011,17:00,O Presidente da República recebe o Primeiro-Ministro para a reunião semanal,""
