data,hora,evento,local
4 de janeiro de 2012,18:00,"O Presidente da República recebe, em audiência, o Ministro dos Negócios Estrangeiros da França, Alain Juppé",""
4 de janeiro de 2012,19:00,"O Presidente da República recebe os cumprimentos dos Embaixadores de Portugal acreditados junto de vários Estados e organizações internacionais, por ocasião do Seminário Diplomático que decorre em Lisboa",""
5 de janeiro de 2012,11:30,"O Presidente da República recebe, em audiência, o Presidente da Autoridade Nacional de Comunicações (ANACOM), Prof. José Manuel Amado da Silva",""
5 de janeiro de 2012,17:00,O Presidente da República recebe o Primeiro-Ministro para a reunião semanal,""
6 de janeiro de 2012,18:00,"O Presidente da República recebe a Banda Musical de Vila Verde, o Grupo de Cantares do Centro de Desporto e Cultura JuveNorte, da Póvoa de Varzim, e os Janeireiros de Boliqueime, Loulé, que cantarão “as Janeiras”
",Palácio de Belém
10 de janeiro de 2012,"",O Presidente da República recebe as cartas credenciais de novos Embaixadores em Portugal:,""
10 de janeiro de 2012,10:00,"Embaixador de Moçambique, Jacon Jeremias Nyambir",""
10 de janeiro de 2012,10:25,"Embaixador do Peru, Néstor Francisco Popolizio Bardales",""
10 de janeiro de 2012,10:50,"Embaixador do Qatar, Adel Ali Mohamed Al Khal Fakhro",""
10 de janeiro de 2012,11:15,"Embaixadora de Cabo Verde, Maria Madalena Brito Neves",""
10 de janeiro de 2012,12:00,"Embaixadores Não-Residentes:

 - Embaixadora da Tanzânia, Begum Karim-Taj
 - Embaixador de S. Vicente e Grenadinas, Cenio Elwin Lewis
 - Embaixador das Seychelles, Claude Morel
 - Embaixadora de Andorra, Maria Ubach Font
 - Embaixador da Antiga República Jugoslava da Macedónia, Agron Budjaku
 - Embaixador do Vietname, Duong Chi Dung",""
11 de janeiro de 2012,11:00,"O Presidente da República recebe os cumprimentos de Ano Novo do Corpo Diplomático acreditado em Portugal, proferindo uma intervenção
",Palácio de Queluz
12 de janeiro de 2012,11:30,"O Presidente da República recebe, em audiência, a Direção da Associação da Hotelaria, Restauração e Similares de Portugal (AHRESP)",""
12 de janeiro de 2012,18:00,O Presidente da República recebe o Primeiro-Ministro para a reunião semanal,""
13 de janeiro de 2012,18:00,"O Presidente da República recebe, em audiência, a Direção da Confederação Internacional dos Empresários Portugueses",""
16 de janeiro de 2012,11:45,"O Presidente da República recebe, em audiência, o Presidente do Supremo Tribunal Administrativo, Conselheiro António Francisco de Almeida Calhau",""
16 de janeiro de 2012,15:30,"O Presidente da República recebe, em audiência, a Direção dos Trabalhadores Social Democratas (TSD)",""
17 de janeiro de 2012,11:00,"O Presidente da República recebe, em audiência, o Presidente e os Vice-Presidentes do Supremo Tribunal de Justiça",""
17 de janeiro de 2012,11:15,"O Presidente da República recebe, em audiência, o Presidente e os restantes Juízes do Tribunal Constitucional",""
17 de janeiro de 2012,11:45,"O Presidente da República recebe, em audiência, o Presidente do Tribunal de Contas",""
17 de janeiro de 2012,12:00,"O Presidente da República recebe, em audiência, o Procurador-Geral da República",""
18 de janeiro de 2012,11:30,"O Presidente da República recebe, em audiência, a Direção da Associação Portuguesa para o Desenvolvimento das Comunicações (APDC)",""
18 de janeiro de 2012,17:00,O Presidente da República recebe o Primeiro-Ministro para a reunião semanal,""
20 de janeiro de 2012,10:15,"Inauguração das novas instalações da Faculdade de Medicina da Universidade do Porto

",Faculdade de Medicina da Universidade do Porto
20 de janeiro de 2012,11:00,"Inauguração das novas instalações da Faculdade de Farmácia e do Instituto de Ciências Biomédicas Abel Salazar
- Intervenção do Presidente da República

",Faculdade de Farmácia e Instituto de Ciências Biomédicas Abel Salazar da Universidade do Porto
20 de janeiro de 2012,"",Visita ao Município do Porto,""
20 de janeiro de 2012,12:30,Chegada à Câmara Municipal do Porto,""
20 de janeiro de 2012,13:00,Visita ao Gabinete do Munícipe,""
20 de janeiro de 2012,15:15,Visita ao Centro Escolar das Antas,""
20 de janeiro de 2012,16:15,Visita ao Bairro da Fonte da Moura,""
20 de janeiro de 2012,18:30,"Sessão sobre Reabilitação Urbana e encerramento da visita ao Município do Porto
- Intervenção do Presidente da República

- Sessão de reconhecimento de mérito de personalidades do Porto sendo condecorados:
 - Grande-Oficial da Ordem Militar de Sant’Iago da Espada,
   Arquiteto Eduardo Souto Moura
 - Grande-Oficial da Ordem Militar de Sant’Iago da Espada,
   Professora Doutora Maria Ângela Brito de Sousa
 - Grande-Oficial da Ordem do Infante Dom Henrique,
   Engenheiro Francisco Nápoles Ferraz de Almeida e Sousa

","Hotel Intercontinental, Porto"
21 de janeiro de 2012,11:25,"Inauguração do Centro Logístico da Garland
- Intervenção do Presidente da República

",Zona Industrial da Maia
21 de janeiro de 2012,15:00,"Inauguração do Passeio das Margens do Ave (Parceria para a Regeneração Urbana)
- Intervenção do Presidente da República

",Zona Ribeirinha de Santo Tirso
21 de janeiro de 2012,16:30,"Inauguração da “Casa de Esmeriz”
- Intervenção do Presidente da República

","Esmeriz, Vila Nova de Famalicão"
21 de janeiro de 2012,17:55,"Sessão Solene de Abertura de Guimarães Capital Europeia da Cultura 2012
- Intervenção do Presidente da República

",Pavilhão Multiusos de Guimarães
23 de janeiro de 2012,15:30,"O Presidente da República recebe, em audiência, a Direção da Federação das Indústrias Portuguesas Agro-Alimentares",""
23 de janeiro de 2012,17:00,"O Presidente da República recebe, em audiência, o Governador do Banco de Portugal, Dr. Carlos Costa",""
24 de janeiro de 2012,18:40,"O Presidente da República recebe, em audiência, o Presidente do Governo de Espanha, Mariano Rajoy",""
25 de janeiro de 2012,12:30,"O Presidente da República recebe, em audiência, os Chefes dos Estados-Maiores das Forças Armadas, a quem oferece seguidamente um almoço",""
26 de janeiro de 2012,17:00,O Presidente da República recebe o Primeiro-Ministro para a reunião semanal,""
27 de janeiro de 2012,11:30,"O Presidente da República recebe, em audiência, o Secretário Executivo da Comunidade dos Países de Língua Portuguesa (CPLP), Engº Domingos Simões Pereira.",""
30 de janeiro de 2012,15:15,"O Presidente da República recebe, em audiência, o Ministro dos Negócios Estrangeiros do Peru, Rafael Roncagliolo.",""
31 de janeiro de 2012,14:55,"O Presidente da República preside à Sessão Solene de Abertura do Ano Judicial.
","Supremo Tribunal de Justiça, Lisboa"
2 de fevereiro de 2012,11:30,"O Presidente da República recebe, em audiência, a Direção da Associação Nacional de Freguesias (ANAFRE)",""
2 de fevereiro de 2012,17:00,O Presidente da República recebe o Primeiro-Ministro para a reunião semanal,""
6 de fevereiro de 2012,10:30,"O Presidente da República preside à Sessão Solene de inauguração da sede da Comunidade dos Países de Língua Portuguesa (CPLP), proferindo uma intervenção
","Palácio do Conde de Penafiel, Lisboa"
6 de fevereiro de 2012,17:30,O Presidente da República recebe um grupo de estudantes finlandeses que se encontram em Portugal no âmbito do Programa ERASMUS,""
6 de fevereiro de 2012,18:30,"O Presidente da República recebe, em audiência, o Ministro dos Negócios Estrangeiros e da Cooperação do Reino de Marrocos, Saâdedine El Othmani",""
7 de fevereiro de 2012,15:30,"O Presidente da República recebe, em audiência, a Direção do Sindicato dos Magistrados do Ministério Público",""
9 de fevereiro de 2012,11:00,"Visita ao Centro Tecnológico da Nokia-Siemens
","	Sede da Nokia-Siemens Networks, Oy, Finlândia"
9 de fevereiro de 2012,11:45,"Visita à Nokia House e Almoço
","	Sede da Nokia, Helsínquia, Finlândia"
9 de fevereiro de 2012,13:45,"Apresentação sobre o Cluster do Mar finlandês 
","FINPRO (Agência Finlandesa de Promoção das Exportações), Helsínquia, Finlândia"
9 de fevereiro de 2012,15:45,"Apresentação sobre o cluster de nanotecnologia finlandês e Visita ao Laboratório Micronova
","Laboratório Micronova da Universidade de Aalto, Finlândia"
9 de fevereiro de 2012,17:35,Visita à empresa Picosun,""
10 de fevereiro de 2012,"","Reunião Informal de Chefes de Estado Europeus
 
no âmbito do denominado Grupo de Arraiolos em Helsínquia, Finlândia
 
10 e 11 de fevereiro de 2012",""
10 de fevereiro de 2012,13:00,"A Presidente da Finlândia, Tarja Halonen, acolhe os Chefes de Estado participantes na Reunião Informal do Grupo de Arraiolos
",	Hotel Hilton Kalastajatorppa
10 de fevereiro de 2012,13:30,"Primeira Sessão Plenária
	Tema: “Europe’s strenghts and interests in the global context”",""
10 de fevereiro de 2012,16:15,"Segunda Sessão Plenária
	Tema: “Tolerance and Combating Discrimination”",""
10 de fevereiro de 2012,19:30,"Jantar oferecido pela Presidente da República da Finlândia, Tarja Halonen, em honra dos Chefes de Estado
",	Palácio Presidencial
11 de fevereiro de 2012,"","Reunião Informal de Chefes de Estado Europeus
 
no âmbito do denominado Grupo de Arraiolos em Helsínquia, Finlândia
 
10 e 11 de fevereiro de 2012",""
11 de fevereiro de 2012,09:30,"Terceira Sessão Plenária
Tema: “Europe’s Southern Neighbourhood”",""
