data,hora,evento,local
3 de janeiro de 2014,17:00,O Presidente da República recebe o Primeiro-Ministro para a reunião semanal ,""
6 de janeiro de 2014,11:15,"O Presidente da República recebe, em audiência, o Diretor-Geral da Organização Mundial do Comércio (OMC), Dr. Roberto Azevedo ",""
7 de janeiro de 2014,11:00,"O Presidente da República recebe, em audiência, a Direção da Federação Portuguesa de Futebol ",""
7 de janeiro de 2014,15:30,"O Presidente da República recebe, em audiência, a Direção da Associação Nacional de Municípios Portugueses (ANMP) ",""
7 de janeiro de 2014,19:00,O Presidente da República recebe os cumprimentos de Ano Novo dos Embaixadores de Portugal acreditados junto de vários Estados e organizações internacionais ,""
9 de janeiro de 2014,"",O Presidente da República recebe os cumprimentos de Ano Novo:,""
9 de janeiro de 2014,11:00,"Presidente, Vice-Presidentes e Juízes do Supremo Tribunal de Justiça",""
9 de janeiro de 2014,11:15,Presidente e Juízes do Tribunal Constitucional,""
9 de janeiro de 2014,11:45,Presidente do Supremo Tribunal Administrativo,""
9 de janeiro de 2014,12:00,Presidente do Tribunal de Contas,""
9 de janeiro de 2014,12:15,Procuradora-Geral da República,""
10 de janeiro de 2014,12:30,"O Presidente da República recebe, em audiência, os Chefes dos Estados-Maiores das Forças Armadas, a quem oferece seguidamente um almoço ",""
10 de janeiro de 2014,17:00,O Presidente da República recebe o Primeiro-Ministro para a reunião semanal ,""
15 de janeiro de 2014,"",O Presidente da República recebe as cartas credenciais de novos Embaixadores em Portugal:,""
15 de janeiro de 2014,10:00,"Embaixador da República Checa, Stanislav Kazecky",""
15 de janeiro de 2014,10:25,"Embaixador do Egipto, Amr Ahmed Ramadan",""
15 de janeiro de 2014,10:50,"Embaixadora da Tunísia, Saloua Bahri",""
15 de janeiro de 2014,11:15,"Embaixador da Alemanha, Ulrich Bradenburg",""
15 de janeiro de 2014,11:40,"Embaixador da Índia, Jitendra Nath Misra",""
15 de janeiro de 2014,12:00,"Embaixadores Não-Residentes:

 -Embaixador do Montenegro, Zeljko Perovic
 -Embaixadora do Uganda, Nimisha Jayant Madhvani",""
16 de janeiro de 2014,11:30,"O Presidente da República recebe os cumprimentos de Ano Novo do Corpo Diplomático acreditado em Portugal, proferindo uma intervenção
",Palácio de Queluz
17 de janeiro de 2014,16:00,O Presidente da República recebe o Primeiro-Ministro para a reunião semanal ,""
20 de janeiro de 2014,"",Cerimónia de Condecoração de Cristiano Ronaldo com o grau de Grande-Oficial da Ordem do Infante D. Henrique,""
20 de janeiro de 2014,15:00,Encontro do Presidente da República com Cristiano Ronaldo,""
20 de janeiro de 2014,15:20,"Cerimónia de Agraciamento de Cristiano Ronaldo

- Intervenção do Presidente da República
- Imposição das Insígnias de Grande-Oficial da Ordem do Infante D. Henrique a Cristiano Ronaldo
- Intervenção de Cristiano Ronaldo",""
23 de janeiro de 2014,17:00,O Presidente da República recebe o Primeiro-Ministro para a reunião semanal ,""
29 de janeiro de 2014,14:55,"O Presidente da República preside à Sessão Solene de Abertura do Ano Judicial
","Supremo Tribunal de Justiça, Lisboa"
30 de janeiro de 2014,17:00,O Presidente da República recebe o Primeiro-Ministro para a reunião semanal ,""
30 de janeiro de 2014,19:00,"O Presidente da República recebe, em audiência, a Direção da VINCI ",""
31 de janeiro de 2014,12:30,"O Presidente da República recebe, em audiência, o Senador italiano Professor Mario Monti, o Presidente Honorário do Instituto Europeu de Administração Empresarial (INSEAD), Professor Claude Janssen, e antigos alunos do INSEAD ",""
31 de janeiro de 2014,18:00,"O Presidente da República participa na Cerimónia de Homenagem ao Dr. Vasco Graça Moura, proferindo uma intervenção
","Fundação Calouste Gulbenkian, Lisboa"
3 de fevereiro de 2014,11:30,"O Presidente da República recebe, em audiência, a Direção do Grupo de Reflexão e Apoio à Cidadania Empresarial - GRACE ",""
4 de fevereiro de 2014,11:30,"O Presidente da República recebe, em audiência, o Presidente da China Three Gorges, Cao Guangjing  ",""
4 de fevereiro de 2014,15:30,"O Presidente da República recebe, em audiência, o Chefe do Estado-Maior General das Forças Armadas, General Luís Evangelista Esteves Araújo ",""
5 de fevereiro de 2014,10:45,"O Presidente da República preside à inauguração da nova sede do Grupo Novartis, proferindo uma intervenção
","Praça Central do Taguspark, Oeiras"
6 de fevereiro de 2014,17:00,O Presidente da República recebe o Primeiro-Ministro para a reunião semanal ,""
7 de fevereiro de 2014,10:30,"O Presidente da República confere posse ao Chefe do Estado-Maior General das Forças Armadas, General Artur Neves Pina Monteiro ",""
7 de fevereiro de 2014,11:30,"O Presidente da República recebe, em audiência, o Primeiro-Ministro de Timor-Leste, Xanana Gusmão ",""
10 de fevereiro de 2014,16:30,"O Presidente da República recebe, em audiência, o Ministro da Educação e Ciência, Prof. Nuno Crato  ",""
