data,hora,evento,local
3 de janeiro de 2013,17:00,O Presidente da República recebe o Primeiro-Ministro para a reunião semanal,""
4 de janeiro de 2013,18:30,O Presidente da República recebe os cumprimentos de Ano Novo dos Embaixadores de Portugal acreditados junto de vários Estados e organizações internacionais,""
6 de janeiro de 2013,18:00,"O Presidente da República  recebe o Grupo do “Centro de Reabilitação e Integração Torrejano”, a Sociedade Filarmónica Vizelense, e o Grupo “A Força da Tradição”, de Paderne, que cantarão “as Janeiras” no Palácio de Belém",""
7 de janeiro de 2013,18:10,"O Presidente da República preside à sessão de encerramento da “Grande Conferência Expresso 40 Anos”, proferindo uma intervenção
","Centro Cultural de Belém, Lisboa"
8 de janeiro de 2013,11:30,"O Presidente da República recebe, em audiência, os responsáveis da associação Aprender a Empreender e as duas equipas de jovens alunos que representaram Portugal na Feira de Empresas em Zurique e na competição internacional Junior Achievement Europe 2012, realizada em Bucareste",""
9 de janeiro de 2013,11:30,"O Presidente da República recebe, em audiência a Direção da Fundação Bracara Augusta, responsável pela organização da iniciativa “Braga 2012: Capital Europeia da Juventude”",""
9 de janeiro de 2013,17:00,O Presidente da República recebe o Primeiro-Ministro para a reunião semanal,""
10 de janeiro de 2013,"","O Presidente da República recebe os cumprimentos de Ano Novo do Presidente e dos juízes do Tribunal Constitucional, do Presidente do Supremo Tribunal Administrativo, do Presidente do Tribunal de Contas e da Procuradora-Geral da República",""
10 de janeiro de 2013,11:15,Presidente e juízes do Tribunal Constitucional,""
10 de janeiro de 2013,11:45,Presidente do Supremo Tribunal Administrativo,""
10 de janeiro de 2013,12:00,Presidente do Tribunal de Contas,""
10 de janeiro de 2013,12:15,Procuradora-Geral da República,""
10 de janeiro de 2013,15:00,"O Presidente da República recebe, em audiência, o Ministro dos Negócios Estrangeiros da Nigéria, Gbenga Ashiru",""
11 de janeiro de 2013,15:30,"O Presidente da República recebe, em audiência, o Presidente do Parlamento Europeu, Martin Schulz",""
14 de janeiro de 2013,"",O Presidente da República recebe as cartas credenciais de novos Embaixadores em Portugal:,""
14 de janeiro de 2013,10:00,"Embaixadora da Suécia, Caroline Fleetwood",""
14 de janeiro de 2013,10:25,"Embaixador das Filipinas, Philippe J. Lhuiller",""
14 de janeiro de 2013,10:50,"Embaixador da Bulgária, Todor Hristov Stoyanov",""
14 de janeiro de 2013,11:15,"Embaixador da China, Huang Songfu",""
14 de janeiro de 2013,11:45,"Apresentação conjunta de credenciais pelos Embaixadores Não-Residentes:
- Embaixadora da Jamaica, Vilma Mcnish 
- Embaixador da R.P.D. da Coreia, Kim Chun Guk 
- Embaixador do Azerbaijão, Tariklsmail Oglu Aliyev
- Embaixador da Eslovénia, Leon Marc",""
14 de janeiro de 2013,15:30,"O Presidente da República recebe, em audiência, a Direção da União Geral dos Trabalhadores (UGT)",""
15 de janeiro de 2013,11:00,"O Presidente da República recebe os cumprimentos de Ano Novo do Corpo Diplomático acreditado em Portugal, proferindo uma intervenção
",Palácio de Queluz
16 de janeiro de 2013,11:30,"O Presidente da República recebe, em audiência para apresentação de cumprimentos de Ano Novo, o Presidente do Supremo Tribunal de Justiça, Juiz Conselheiro Dr. Luís António Noronha Nascimento",""
16 de janeiro de 2013,12:00,"O Presidente da República recebe, em audiência para apresentação de cumprimentos de Ano Novo, o Bastonário da Ordem dos Advogados, Dr. António Marinho e Pinto",""
18 de janeiro de 2013,12:30,"O Presidente da República recebe, em audiência, os Chefes dos Estados-Maiores das Forças Armadas, a quem oferece seguidamente um almoço",""
18 de janeiro de 2013,17:00,O Presidente da República recebe o Primeiro-Ministro para a reunião semanal,""
21 de janeiro de 2013,11:30,"O Presidente da República recebe, em audiência, o Embaixador de França, Pascal Teixeira da Silva, a Câmara de Comércio e de Indústria Luso-Francesa (CCILF) e Conselheiros do Comércio Externo da França (CCEF)",""
24 de janeiro de 2013,11:00,"O Presidente da República recebe, em audiência, a Direção da Confederação Geral dos Trabalhadores Portugueses (CGTP-IN)",""
24 de janeiro de 2013,17:00,O Presidente da República recebe o Primeiro-Ministro para a reunião semanal,""
