data,hora,evento,local
1 de dezembro de 2017,"",Comemorações do 1.º de Dezembro,""
1 de dezembro de 2017,10:00,"Cerimónia de Homenagem aos Heróis da Restauração e da Guerra da Aclamação
","Praça dos Restauradores, Lisboa"
1 de dezembro de 2017,16:30,"6.º Desfile Nacional de Bandas Filarmónicas - Atuação Final e Conjunta
","Praça dos Restauradores, Lisboa"
4 de dezembro de 2017,12:30,"Visita e Almoço no Centro de Apoio Social dos Anjos (CASA) da Santa Casa da Misericórdia de Lisboa
",Lisboa
4 de dezembro de 2017,16:30,"Sessão de Abertura da Conferência Comemorativa dos 25 anos de Transplantação Hepática
","Fundação Calouste Gulbenkian, Lisboa"
5 de dezembro de 2017,10:30,"Sessão de Abertura do Seminário de Encerramento do Ciclo de Debates “Decidir sobre o final da vida”
","Fundação Champalimaud, Lisboa"
5 de dezembro de 2017,13:30,"Elaboração de cabazes de Natal com os voluntários do Banco do Bebé
",Lisboa
5 de dezembro de 2017,19:00,"Audiência aos participantes no Programa Operacional para a Promoção da Educação (OPRE)
",Palácio de Belém
6 de dezembro de 2017,"","Visita de Estado a Portugal do Presidente da República Italiana, Sergio Mattarella",""
6 de dezembro de 2017,11:00,"Cerimónia de boas-vindas ao Presidente da República Italiana, Sergio Mattarella

- Honras militares:
 - Hinos nacionais
 - Desfile militar","Praça do Império - Mosteiro dos Jerónimos, Lisboa
"
6 de dezembro de 2017,11:20,Cerimónia de deposição de uma coroa de flores no túmulo de Luís Vaz de Camões,""
6 de dezembro de 2017,11:35,Partida do Presidente da República Italiana para o Palácio de Belém com escolta de honra por regimento a cavalo da GNR,""
6 de dezembro de 2017,11:45,"Chegada do Presidente da República Italiana, Sergio Mattarella ao Palácio de Belém

- Fotografia oficial e assinatura do livro de honra
- Encontro do Presidente da República com o Presidente da República Italiana
- Encontro dos dois Chefes de Estado alargado às delegações",""
6 de dezembro de 2017,12:40,Declarações dos dois Chefes de Estado à imprensa,""
6 de dezembro de 2017,14:00,"Visita à Casa Noverca - Escola Básica Maria Veleda
","Santo António dos Cavaleiros, Loures"
6 de dezembro de 2017,"","Visita de Estado a Portugal do Presidente da República Italiana, Sergio Mattarella",""
6 de dezembro de 2017,20:00,"Jantar oficial oferecido pelo Presidente da República em honra do Presidente da República Italiana, Sergio Mattarella
",Palácio Nacional da Ajuda
7 de dezembro de 2017,"","Visita de Estado a Portugal do Presidente da República Italiana, Sergio Mattarella",""
7 de dezembro de 2017,11:50,"Cerimónia de doutoramento “honoris causa” do Presidente da República Italiana
",Salão Nobre da Reitoria da Universidade do Porto
7 de dezembro de 2017,17:00,"Inauguração do CHETO Technological Center
","Área de Acolhimento Empresarial de Ul-Loureiro, Oliveira de Azeméis"
8 de dezembro de 2017,15:00,"Visita ao Centro de Acolhimento de Jovens “Casa João Paulo II” da Ajuda de Mãe
",Paço de Arcos
8 de dezembro de 2017,19:00,"Visita ao Projeto Social “Largo Residências”
",Lisboa
9 de dezembro de 2017,15:30,"Visita à Casa de Acolhimento Residencial Especializada - GPS (Gerar, Percorrer e Socializar) e à ART - Associação de Respostas Terapêuticas
","Quinta Horta da Nora, Castro Verde"
9 de dezembro de 2017,19:00,"Sessão de Encerramento do XXIII Congresso da ANMP - Associação Nacional de Municípios Portugueses
","Portimão Arena, Portimão"
10 de dezembro de 2017,18:30,"Visita ao Bairro do Forte da Bela Vista e jantar com os moradores por ocasião do dia Internacional dos Direitos Humanos
",Setúbal
11 de dezembro de 2017,15:00,No dia da UNICEF um grupo de crianças e representantes da instituição entregam ao Presidente da República a Convenção sobre os Direitos da Criança e o Relatório “State of the World’s Children 2017: Children in a digital world” que tem o contributo de crianças portuguesas,""
11 de dezembro de 2017,16:00,Audiência à Rede Anti-Pobreza - EAPN/Portugal,""
12 de dezembro de 2017,14:00,"Cerimónia de encerramento das Comemorações dos 700 anos da Marinha
","Praça do Comércio, Lisboa"
12 de dezembro de 2017,17:30,"Reunião de Trabalho - Apresentação do Plano de Ação 2017/2018 da Estratégia Nacional para a Integração de Pessoas em Situação de Sem-Abrigo (ENIPSSA)
",Palácio de Belém
12 de dezembro de 2017,19:30,"Tomada de Posse da Secretária de Estado da Saúde do XXI Governo Constitucional, Dra. Rosa Augusta Valente de Matos Zorrinho",""
14 de dezembro de 2017,12:30,"59ª edição do Natal dos Hospitais
","Centro de Medicina de Reabilitação de Alcoitão, Alcabideche, Cascais"
14 de dezembro de 2017,15:00,"Reunião do Conselho Superior de Defesa Nacional
",Palácio de Belém
15 de dezembro de 2017,11:00,"Cerimónia Comemorativa do 44.º Aniversário da Universidade de Aveiro
","Universidade de Aveiro, Aveiro"
15 de dezembro de 2017,16:00,"Conferência de apresentação do estudo “Investimento Empresarial e o Crescimento da Economia Portuguesa”
","Universidade do Minho, Braga"
16 de dezembro de 2017,11:00,"Inauguração do Presépio ao Vivo de Priscos
","Priscos, Braga"
17 de dezembro de 2017,12:00,"29.ª Festa de Natal da Comunidade Vida e Paz
","Cantina da Cidade Universitária, Lisboa"
18 de dezembro de 2017,"","Visita Oficial a Portugal do Presidente da Ucrânia, Petro Poroshenko",""
18 de dezembro de 2017,10:30,"Chegada do Presidente da Ucrânia e Senhora Maryna Poroshenko  ao Palácio de Belém

- Hinos nacionais
- Fotografia oficial e assinatura do livro de honra
- Apresentação das delegações
- Encontro dos dois Chefes de Estado
- Encontro dos dois Chefes de Estado alargado às delegações",""
18 de dezembro de 2017,11:30,Declarações dos dois Chefes de Estado à imprensa,""
18 de dezembro de 2017,19:00,"Jantar Oficial oferecido pelo Presidente da República em honra do Presidente da Ucrânia e Senhora Maryna Poroshenko
",Palácio de Belém
19 de dezembro de 2017,13:00,Apresentação de Cumprimentos de Boas Festas da Assembleia da República ao Presidente da República,""
20 de dezembro de 2017,12:15,"Sessão de Encerramento do 5.º Encontro Anual do Conselho da Diáspora Portuguesa
","Palácio da Cidadela, Cascais"
21 de dezembro de 2017,11:30,"Visita ao Centro de Apoio Social de Oeiras do Instituto de Ação Social das Forças Armadas (IASFA)
",Oeiras
21 de dezembro de 2017,17:00,Apresentação de Cumprimentos de Boas Festas do Primeiro-Ministro e dos membros do Governo ao Presidente da República,""
22 de dezembro de 2017,15:00,"Reunião com a Ministra da Justiça, Francisca Van Dunem, para apreciação anual dos processos de indulto",""
22 de dezembro de 2017,17:00,"Visita à Second Home
",Lisboa
24 de dezembro de 2017,18:00,"Ginjinha de Natal do Barreiro
","Avenida Alfredo da Silva, Barreiro"
2 de novembro de 2017,12:00,"Encontro com Representantes das Startup’s Portuguesas selecionadas para a 2ª edição da Web Summit em Lisboa
",Antigo Museu Nacional dos Coches
2 de novembro de 2017,15:30,"Reunião de Trabalho - Ponto de situação sobre a ENIPSSA - Estratégia Nacional para a Integração de Pessoas em Situação de Sem-Abrigo
",Palácio de Belém
3 de novembro de 2017,12:30,"Sessão de Encerramento do 1.º Congresso das Escolas “A Pedagogia das Escolas”
","Fundação Calouste Gulbenkian, Lisboa"
4 de novembro de 2017,17:00,"Audiência “Movimento para o Interior”.
Presidente da Câmara Municipal da Guarda e Presidente dos Autarcas Social Democratas, Álvaro Amaro; Presidente da Câmara Municipal de Vila Real e Presidente dos Autarcas Socialistas, Rui Santos; Reitor da Universidade de Trás-os-Montes e Alto Douro (UTAD) e Presidente do Conselho de Reitores das Universidades Portuguesas (CRUP), António Fontaínhas Fernandes; Presidente do Instituto Politécnico Leiria e Presidente do Conselho Coordenador dos Institutos Superiores Politécnicos (CCISP), Nuno Mangas; Presidente do Conselho Geral da Universidade de Trás-os-Montes e Alto Douro (UTAD) e ex-Presidente do Conselho Económico e Social, José Silva Peneda.",""
4 de novembro de 2017,18:00,"Audiência a representantes das associações “Capazes Associação Feminista”, “APAV - Associação Portuguesa de Apoio à Vítima” e “UMAR - União de Mulheres Alternativa e Resposta”",""
7 de novembro de 2017,18:30,"Inauguração da Exposição sobre Bernardino Machado “Boa Viagem, Senhor Presidente! De Lisboa até à Guerra - 100 anos da Primeira Visita de Estado”
",Palácio da Cidadela de Cascais
8 de novembro de 2017,15:00,"Cerimónia de Abertura Solene do Ano Letivo 2017/2018 da Academia Militar
",Campus da Amadora da Academia Militar
9 de novembro de 2017,17:00,"Sessão de Encerramento da Web Summit
","Altice Arena, Lisboa"
9 de novembro de 2017,20:00,"Jantar Solidário do 35.º Aniversário da CEDEMA - Associação de Pais e Amigos dos Deficientes Mentais Adultos
","Altis Grand Hotel, Lisboa"
10 de novembro de 2017,13:00,"Cerimónia Comemorativa dos 90 Anos da Super Bock
","Leça do Balio, Matosinhos"
10 de novembro de 2017,20:45,"Jogo Solidário da Seleção Nacional de Futebol frente à Arábia Saudita
","Estádio Municipal do Fontelo, Viseu"
11 de novembro de 2017,10:30,"Cerimónia Comemorativa do 99.º Aniversário do Armistício da Grande Guerra
","Monumento aos Combatentes do Ultramar - Forte do Bom Sucesso, Lisboa"
11 de novembro de 2017,19:00,"Preparação e distribuição de refeições a sem-abrigo
",Lisboa 
13 de novembro de 2017,"","Visita de Estado a Portugal do Presidente da República da Colômbia, Juan Manuel Santos e Senhora María Clemencia Rodríguez de Santos",""
13 de novembro de 2017,11:00,"Cerimónia de boas-vindas ao Presidente da República da Colômbia, Juan Manuel Santos e Senhora María Clemencia Rodríguez de Santos

- Fotografia oficial
- Honras militares:
 - Hinos nacionais
 - Revista à Guarda de Honra
 - Desfile militar","Praça do Império - Mosteiro dos Jerónimos, Lisboa
"
13 de novembro de 2017,11:35,"Chegada do Presidente da República da Colômbia, Juan Manuel Santos ao Palácio de Belém

- Fotografia oficial e assinatura do livro de honra
- Apresentação das delegações
- Encontro do Presidente da República com o Presidente da República da Colômbia
- Encontro dos dois Chefes de Estado alargado às delegações",""
13 de novembro de 2017,12:30,Declarações dos dois Chefes de Estado à imprensa,""
13 de novembro de 2017,15:00,"Cerimónia de Doutoramento Honoris Causa pela Universidade Nova de Lisboa ao Presidente da República da Colômbia
",Auditório da Reitoria da Universidade Nova de Lisboa
13 de novembro de 2017,20:00,"Jantar oferecido em honra do Presidente da República da Colômbia, Juan Manuel Santos e Senhora María Clemencia Rodríguez de Santos
",Palácio Nacional da Ajuda
14 de novembro de 2017,15:00,"Visita à sede da Associação Protetora dos Diabéticos de Portugal
",Lisboa
14 de novembro de 2017,20:45,"Jogo Solidário da Seleção Nacional de Futebol frente aos Estados Unidos da América
","Estádio Municipal de Leiria - Dr. Magalhães Pessoa, Leiria"
15 de novembro de 2017,13:15,"Visita à Brigada Mecanizada (BrigMec)
","Campo Militar de Santa Margarida, Constância"
16 de novembro de 2017,"",Apresentação de cartas credenciais de novos Embaixadores em Portugal:,""
16 de novembro de 2017,14:00,"Embaixadora da Suécia, Helena Ahlin",""
16 de novembro de 2017,14:25,"Embaixadora de Cuba, Mercedes Martinez Valdés",""
16 de novembro de 2017,14:50,"Embaixador da Suíça, André Regli",""
16 de novembro de 2017,15:15,"Embaixador do Japão, Jun Niimi",""
16 de novembro de 2017,15:45,"Apresentação conjunta de cartas credenciais pelos Embaixadores Não-Residentes:

 - Embaixador do Burkina Faso, Alain Ilboudo 
 - Embaixador do Laos, Yong Chanthalangsy
 - Embaixador do Yémen, Reyad Abdullah
 - Embaixador da República do Congo, Rodolphe Adada
 - Embaixador do Gabão, Flavien Enongoue",""
17 de novembro de 2017,12:00,"Bazar Diplomático 2017
",Centro de Congressos de Lisboa
17 de novembro de 2017,16:00,"40.º aniversário da Faculdade de Ciências e Tecnologia da Universidade Nova de Lisboa
","Campus de Caparica, Almada"
20 de novembro de 2017,13:00,"Visita ao Hospital Dona Estefânia por ocasião do 140.º Aniversário com a Operação Nariz Vermelho
","Hospital Dona Estefânia, Lisboa"
20 de novembro de 2017,17:00,"Conferência “Ciência Portuguesa pelo Mundo” - Global Portuguese Scientists (GPS) promovida pela Fundação Francisco Manuel dos Santos
","Observatório Astronómico de Lisboa, Tapada da Ajuda, Lisboa"
21 de novembro de 2017,12:00,"Sessão de Encerramento da VIII Conferência Anual do Health Cluster Portugal: “Saúde em Portugal: construir consensos para 2020 e mais além”
","Reitoria da Universidade Nova de Lisboa, Lisboa"
22 de novembro de 2017,"","Visita de Estado a Portugal do Presidente da Republica de Cabo Verde, Jorge Carlos Fonseca e Senhora Lígia Fonseca",""
22 de novembro de 2017,15:45,"Cerimónia de boas-vindas ao Presidente da Republica de Cabo Verde e Senhora

- Fotografia oficial
- Honras militares:
 - Hinos nacionais
 - Revista à Guarda de Honra
 - Desfile militar","Praça do Império - Mosteiro dos Jerónimos, Lisboa
"
22 de novembro de 2017,16:05,Cerimónia de deposição de uma coroa de flores no túmulo de Luís Vaz de Camões,""
22 de novembro de 2017,16:30,"Chegada do Presidente da Republica de Cabo Verde e Senhora ao Palácio de Belém

- Fotografia oficial e assinatura do livro de honra
- Apresentação das delegações
- Encontro do Presidente da República com o Presidente da República de Cabo Verde
- Encontro dos dois Chefes de Estado alargado às delegações",""
22 de novembro de 2017,17:10,Declarações dos dois Chefes de Estado à imprensa,""
22 de novembro de 2017,18:10,"Sessão de Encerramento do Seminário “Portugal Exportador 2017”
",Centro de Congresso de Lisboa
22 de novembro de 2017,20:00,"Jantar oferecido em honra do Presidente da Republica de Cabo Verde, Jorge Carlos Fonseca e Senhora Lígia Fonseca
",Palácio Nacional da Ajuda
23 de novembro de 2017,12:00,"Visita à Feira de Solidariedade Rastrillo 2017
","Centro de Congressos de Lisboa, Lisboa"
23 de novembro de 2017,"","Visita de Estado a Portugal do Presidente da Republica de Cabo Verde, Jorge Carlos Fonseca e Senhora Lígia Fonseca",""
23 de novembro de 2017,15:00,"Cerimónia de Doutoramento “honoris causa” do Presidente da República de Cabo Verde pela Universidade de Lisboa
","Aula Magna da Reitoria da Universidade de Lisboa, Lisboa"
24 de novembro de 2017,13:00,"Almoço de Sua Excelência o Presidente da República de Cabo Verde e Dra. Lígia Fonseca com representantes da Comunidade Cabo-verdiana, com a presença de Sua Excelência o Presidente da República
 ","Restaurante o Coqueiro, R. Reis 3 -  Bairro Cova da Moura -Amadora
"
25 de novembro de 2017,16:00,"Comemorações do 172º Aniversário do Nascimento do Escritor José Maria Eça de Queiroz
Inauguração de Estátua do Escritor José Maria Eça de Queirós
","Praça Francisco Sá Carneiro, Baião"
25 de novembro de 2017,17:30,"Visita à Fundação Eça de Queiroz
","Quinta de Tormes, Santa Cruz do Douro, Baião "
26 de novembro de 2017,12:00,"Homenagem a D. António Francisco - bispo do Porto
",Centro Paroquial de Santa Maria de Março de Canaveses
26 de novembro de 2017,12:30,Visita ao hospital da Santa Casa da misericórdia do Marco de Canaveses por ocasião do seu 50° aniversário ,""
27 de novembro de 2017,15:00,"Visita à Escola de Tecnologias Navais da Marinha
Base Naval de Lisboa, Alfeite ",""
27 de novembro de 2017,19:00,"Conferência Internacional “Novas Perspetivas para a Inovação Social""
Fundação Calouste Gulbenkian ",""
