data,hora,evento,local
1 de dezembro de 2016,10:00,"Cerimónia Comemorativa do Dia da Restauração
","Praça dos Restauradores, Lisboa"
3 de dezembro de 2016,14:00,"Cerimónia de condecoração de Carlos do Carmo
",Palácio de Belém
3 de dezembro de 2016,15:00,"Visita à Casa do Tejo - Direito ao Lazer, da Associação de Paralisia Cerebral de Lisboa (APCL), assinalando o Dia Internacional da Pessoa com Deficiência
",Lisboa
5 de dezembro de 2016,"","PORTUGAL PRÓXIMO - Beira Interior
 
Castelo Branco, Covilhã e Guarda",""
5 de dezembro de 2016,10:00,"Visita à Escola Superior de Artes Aplicadas (ESART) do Instituto Politécnico de Castelo Branco (IPCB)
- Intervenção do Presidente da República",""
5 de dezembro de 2016,12:00,Inauguração do Museu da Seda da Associação Portuguesa de Pais e Amigos do Cidadão Deficiente Mental (APPACDM) de Castelo Branco,""
5 de dezembro de 2016,13:45,Visita à fábrica da DIELMAR e Inauguração das novas instalações da alfaiataria em Homenagem ao Mestre Hélder Rafael,""
5 de dezembro de 2016,15:30,Visita à Faculdade de Ciências da Saúde da Universidade da Beira Interior,""
5 de dezembro de 2016,17:30,Inauguração do novo Centro Logístico da OLANO na Plataforma Logística de Iniciativa Empresarial (PLIE) da Guarda,""
5 de dezembro de 2016,18:15,"Sessão de encerramento das Conferências da Guarda

- Intervenção do Presidente da Câmara Municipal da Guarda
- Intervenção do Presidente da República","Edifício da Câmara Municipal da Guarda
"
5 de dezembro de 2016,19:00,Visita à Cidade Natal da Guarda,""
6 de dezembro de 2016,15:30,"Reunião do Conselho Superior de Defesa Nacional
","Quartel de Santo Ovídio, Porto"
7 de dezembro de 2016,12:30,"Sessão de Encerramento dos 40 anos da CCP - Confederação do Comércio e Serviços de Portugal
","Fundação Calouste Gulbenkian, Lisboa"
7 de dezembro de 2016,15:30,"Comemorações do Dia da Academia Portuguesa da História
","Palácio dos Lilases, Lisboa"
8 de dezembro de 2016,12:00,"Homenagem a Mário Cesariny
","Cemitério dos Prazeres, Lisboa"
9 de dezembro de 2016,14:30,"Visita à AutoEuropa - 25 Anos em Portugal
","AutoEuropa, Palmela"
10 de dezembro de 2016,12:00,"Condecoração do Almirante Luís Macieira Fragoso, ex-Chefe do Estado-Maior da Armada",""
10 de dezembro de 2016,12:30,"Tomada de Posse do Chefe de Estado-Maior da Armada, Almirante António Silva Ribeiro",""
10 de dezembro de 2016,17:30,"Convenção 40 Anos de Poder Local Democrático
","Local: Convento São Francisco, Coimbra"
12 de dezembro de 2016,"","Participação do Presidente da República na cerimónia de juramento do novo secretário-geral das Nações Unidas, António Guterres
 
Nova Iorque, Estados Unidos da América",""
