data,hora,evento,local
9 de março de 2006,10:00,"Tomada de Posse do Presidente da República, Aníbal Cavaco Silva, perante a Sessão Plenária da Assembleia da República",""
10 de março de 2006,09:30,"O Presidente da República recebe, em audiência, o Primeiro-Ministro de Angola, Fernando da Piedade Dias dos Santos.",""
10 de março de 2006,10:30,"O Presidente da República recebe, em audiência, o Presidente da República de Cabo Verde, Pedro Pires.",""
10 de março de 2006,11:30,"O Presidente da República recebe, em audiência, o Presidente da Guiné-Bissau, João Bernardo Nino Vieira.",""
10 de março de 2006,16:30,"O Presidente da República recebe, em audiência, o Presidente de São Tomé e Príncipe, Fradique de Menezes.",""
16 de março de 2006,17:00,"O Presidente da República recebe o Primeiro-Ministro, Eng. José Sócrates, para a primeira das reuniões regulares semanais",""
20 de março de 2006,11:00,"O Presidente da República recebe, em audiência, o Presidente do Partido Popular de Espanha, D. Mariano Rajoy.",""
22 de março de 2006,09:00,"O Presidente da República está presente na cerimónia de posse do Presidente de Cabo Verde, Comandante Pedro Pires, na Cidade da Praia.",""
24 de março de 2006,18:00,O Presidente da República recebe o Primeiro-Ministro para a reunião semanal,""
27 de março de 2006,12:30,"O Presidente da República recebe o Presidente da Comissão Europeia, Dr. José Manuel Durão Barroso, para uma audiência seguida de almoço.",""
27 de março de 2006,15:30,"O Presidente recebe o Procurador-Geral da República, José Souto de Moura",""
27 de março de 2006,16:30,"O Presidente recebe o Ministro da Defesa da Tunísia, Kamel Morjane.",""
27 de março de 2006,17:00,O Presidente recebe uma delegação do Partido Social Democrata,""
27 de março de 2006,18:00,O Presidente recebe uma delegação do Centro Democrático Social - Partido Popular.,""
28 de março de 2006,10:00,"O Presidente da República recebe o Presidente da Assembleia da República, Dr. Jaime Gama.",""
28 de março de 2006,11:00,"O Presidente da República recebe o Secretário Executivo da Comunidade dos Países de Língua Portuguesa (CPLP), Embaixador Luís Fonseca",""
29 de março de 2006,18:30,O Presidente da República recebe uma delegação do Partido Socialista,""
30 de março de 2006,16:30,"O Presidente da República confere posse aos Representantes da República nas Regiões Autónomas dos Açores e da Madeira, respectivamente Juízes-Conselheiros José António Mesquita e Antero Alves Monteiro Diniz.",""
30 de março de 2006,17:00,O Presidente da República recebe o Primeiro-Ministro para a reunião semanal,""
31 de março de 2006,12:00,O Presidente da República recebe os membros do Conselho Permanente do Conselho das Comunidades Portuguesas.,""
3 de abril de 2006,10:00,O Presidente da República recebe os juízes do Tribunal Constitucional.,""
3 de abril de 2006,11:00,"O Presidente da República recebe o Presidente do Tribunal de Contas, Dr. Guilherme de Oliveira Martins.",""
4 de abril de 2006,15:30,"O Presidente da República recebe o Presidente do Supremo Tribunal de Justiça, Juiz-Conselheiro José Moura Nunes da Cruz.",""
4 de abril de 2006,17:30,"O Presidente da República recebe o Presidente do Supremo Tribunal Administrativo, Juiz-Conselheiro Manuel Fernando dos Santos Serra.",""
6 de abril de 2006,16:30,"O Presidente da República confere posse ao Conselheiro de Estado por inerência, Dr. Jorge Sampaio, e aos Conselheiros de Estado por si designados, Prof. Doutor João Lobo Antunes, Prof. Doutor Marcelo Rebelo de Sousa, Dr.ª Manuela Ferreira Leite, Dr. Manuel Dias Loureiro e Eng.º Miguel Anacoreta Correia.",""
9 de abril de 2006,11:00,"O Presidente da República efectua uma visita ao Hospital D. Estefânia, em Lisboa, deslocando-se a quatro serviços desta unidade hospitalar.",""
10 de abril de 2006,15:30,"O Presidente da República recebe, em audiência, o Presidente da Assembleia Legislativa da Região Autónoma dos Açores, Dr. Fernando Menezes.",""
10 de abril de 2006,16:30,"O Presidente da República recebe, em audiência, o Presidente da Assembleia Legislativa da Região Autónoma da Madeira, Dr. Miguel Mendonça.",""
12 de abril de 2006,17:00,O Presidente da República recebe o Primeiro-Ministro para a reunião semanal,""
