data,hora,evento,local
1 de março de 2018,11:00,"Cerimónia de boas-vindas ao Presidente da República Federal da Alemanha

Honras Militares no Pátio dos Bichos:
 - Hinos Nacionais
 - Ponto de Continência
 - Saudação ao Estandarte Nacional

- Fotografia oficial e assinatura do livro de honra

- Encontro do Presidente da República com o Presidente da República Federal da Alemanha

- Encontro dos dois Chefes de Estado alargado às delegações","Palácio de Belém
"
1 de março de 2018,12:20,Declarações dos dois Chefes de Estado à imprensa,""
1 de março de 2018,15:20,Passeio de elétrico da Basílica da Estrela até à Praça da Figueira passando por alguns dos bairros mais antigos de Lisboa,""
1 de março de 2018,17:00,"Cerimónia de Tomada de Posse do Chefe do Estado-Maior-General das Forças Armadas, Almirante António Manuel Fernandes da Silva Ribeiro",""
1 de março de 2018,18:00,"Cerimónia de Tomada de Posse do Chefe do Estado-Maior da Armada, Almirante António Maria Mendes Calado",""
1 de março de 2018,"","Visita Oficial a Portugal do Presidente da República Federal da Alemanha, Frank-Walter Steinmeier",""
1 de março de 2018,20:00,"Jantar oficial oferecido pelo Presidente da República em honra do Presidente da República Federal da Alemanha
",Palácio Nacional da Ajuda
2 de março de 2018,"","Visita Oficial a Portugal do Presidente da República Federal da Alemanha, Frank-Walter Steinmeier",""
2 de março de 2018,11:40,"Inauguração da exposição “Encontros” de Günter Grass
","Casa-Museu Guerra Junqueiro, Porto"
2 de março de 2018,12:40,"Cerimónia de Entronização da Confraria do Vinho do Porto
","Palácio da Bolsa, Porto"
2 de março de 2018,13:15,"Almoço oferecido pelo Presidente da Câmara Municipal do Porto, Rui Moreira, e presidido pelo Presidente da República, em honra do Presidente da República Federal da Alemanha
","Palácio da Bolsa, Porto"
2 de março de 2018,14:30,"Visita à Igreja de S. Francisco e passeio a pé pela Ribeira
",Porto
3 de março de 2018,11:20,"Cerimónia na Igreja Adventista do Sétimo Dia
",Lisboa 
5 de março de 2018,11:30,"Visita à Base Aérea N.º 11
",Beja
5 de março de 2018,19:30,"Cerimónia de entrega do Prémio Pessoa 2017 ao arquiteto Manuel Aires Mateus
","Grande Auditório da Culturgest, Lisboa"
6 de março de 2018,19:00,"Cerimónia de homenagem ao pintor Cruzeiro Seixas
",Centro Português de Serigrafia
7 de março de 2018,12:00,"Visita ao Museu Arqueológico de São Miguel de Odrinhas e inauguração da exposição “Agricultores e Pastores da Pré-História - Testemunhos da Região de Sintra”
",São Miguel de Odrinhas - Sintra
8 de março de 2018,11:00,"Visita à fábrica Diniz & Cruz
",Alfragide - Amadora 
9 de março de 2018,12:00,"Lançamento do Livro “Dois anos depois: Júbilo e Tragédia”
",Palácio de Belém 
9 de março de 2018,16:00,"Aula-debate com alunos do Ensino Secundário
","Escola Básica e Secundária Professor Ruy Luís Gomes, Laranjeiro - Almada"
12 de março de 2018,"","Visita de Estado do Presidente da República à República Helénica
 
12 a 14 de março de 2018",""
12 de março de 2018,18:00,Chegada do Presidente da República ao Aeroporto Internacional Eleftherios Venizelos em Atenas,""
12 de março de 2018,19:00,"Receção em honra da comunidade portuguesa oferecida pelo Presidente da República
",Hotel Grande Bretagne
13 de março de 2018,"","Visita de Estado do Presidente da República à República Helénica
 
12 a 14 de março de 2018",""
