data,hora,evento,local
5 de janeiro de 2009,10:30,"O Presidente da República recebe o Ministro dos Negócios Estrangeiros do Brasil, Celso Amorim",""
5 de janeiro de 2009,11:00,"O Presidente da República recebe o Presidente da República de Cabo Verde, Pedro Pires",""
5 de janeiro de 2009,18:30,"O Presidente da República oferece uma recepção ao Corpo Diplomático Português, por ocasião do Seminário Diplomático",""
6 de janeiro de 2009,18:00,"O Presidente da República recebe os coros da ARCIL (Associação para a Recuperação de Cidadãos Inadaptados da Lousã), da Tuna Sénior, do Centro de Dia São Miguel, Santa Casa da Misericórdia de Cascais, e da ABARCA (Associação Barroense de Recreio Cultura e Assistência, Barro), que cantarão “as Janeiras”","Palácio de Belém
"
7 de janeiro de 2009,12:15,"O Presidente da República recebe os cumprimentos de Ano Novo dos Chefes dos Estados-Maiores das Forças Armadas, a quem oferece um almoço","Palácio de Belém
"
7 de janeiro de 2009,15:30,O Presidente da República recebe os membros do Conselho Permanente do Conselho das Comunidades Portuguesas,""
8 de janeiro de 2009,11:00,"O Presidente da República recebe as cartas credenciais do novo Núncio Apostólico em Portugal, S.E.R. Monsenhor Rino Passigato",""
8 de janeiro de 2009,17:00,O Presidente da República recebe o Primeiro-Ministro para a reunião semanal,""
12 de janeiro de 2009,11:30,"O Presidente da República recebe os cumprimentos de Ano Novo do Corpo Diplomático acreditado em Portugal, proferindo uma intervenção","Palácio de Queluz
"
13 de janeiro de 2009,11:00,O Presidente da República recebe os cumprimentos de Ano Novo do Presidente do Supremo Tribunal de Justiça,""
13 de janeiro de 2009,11:15,O Presidente da República recebe os cumprimentos de Ano Novo do Presidente e dos juízes do Tribunal Constitucional,""
13 de janeiro de 2009,11:45,O Presidente da República recebe os cumprimentos de Ano Novo do Presidente do Supremo Tribunal Administrativo,""
13 de janeiro de 2009,12:00,O Presidente da República recebe os cumprimentos de Ano Novo do Presidente do Tribunal de Contas,""
13 de janeiro de 2009,12:15,O Presidente da República recebe os cumprimentos de Ano Novo do Procurador-Geral da República,""
14 de janeiro de 2009,11:30,O Presidente da República visita o Instituto Português do Sangue,"Parque da Saúde de Lisboa, Av. do Brasil
"
15 de janeiro de 2009,17:00,O Presidente da República recebe o Primeiro-Ministro para a reunião semanal,""
