data,hora,evento,local
6 de janeiro de 2008,17:00,"O Presidente da República recebe os coros das Escolas Militares (Colégio Militar, Instituto de Odivelas e Instituto Militar dos Pupilos do Exército) e a Tuna dos Funcionários da Câmara Municipal de Vila Verde, que cantarão “as Janeiras”",""
7 de janeiro de 2008,18:30,O Presidente da República recebe os cumprimentos dos Embaixadores de Portugal acreditados junto de vários estados e organizações internacionais,""
8 de janeiro de 2008,11:30,"O Presidente da República recebe os cumprimentos de Ano Novo do Corpo Diplomático acreditado em Portugal, proferindo uma intervenção 
",Palácio de Queluz
8 de janeiro de 2008,20:00,"O Presidente da República oferece um jantar ao Corpo Diplomático acreditado em Portugal 
Palácio da Ajuda, Lisboa",""
9 de janeiro de 2008,12:30,O Presidente da República recebe os cumprimentos de Ano Novo dos Chefes dos Estados-Maiores das Forças Armadas,""
10 de janeiro de 2008,11:00,O Presidente da República recebe os cumprimentos de Ano Novo do Presidente do Supremo Tribunal de Justiça,""
10 de janeiro de 2008,11:15,O Presidente da República recebe os cumprimentos de Ano Novo do Presidente e dos juízes do Tribunal Constitucional,""
10 de janeiro de 2008,11:45,O Presidente da República recebe os cumprimentos de Ano Novo do Presidente do Supremo Tribunal Administrativo,""
10 de janeiro de 2008,12:00,O Presidente da República recebe os cumprimentos de Ano Novo do Presidente do Tribunal de Contas,""
10 de janeiro de 2008,12:15,O Presidente da República recebe os cumprimentos de Ano Novo do Procurador-Geral da República,""
10 de janeiro de 2008,17:00,O Presidente da República recebe o Primeiro-Ministro para a reunião semanal,""
11 de janeiro de 2008,11:30,"O Presidente da República recebe, em audiência, o Ministro da Justiça do Brasil, Dr. Tarso Genro",""
15 de janeiro de 2008,11:30,"O Presidente da República recebe, em audiência, uma delegação da União Geral dos Trabalhadores (UGT)",""
16 de janeiro de 2008,11:30,"O Presidente da República recebe, em audiência, o Governador da Província de Chubut, Argentina, Dr. Mário das Neves",""
16 de janeiro de 2008,16:30,"O Presidente da República recebe, em audiência, a Direcção da Associação Portuguesa das Indústrias do Calçado",""
17 de janeiro de 2008,17:00,O Presidente da República recebe o Primeiro-Ministro para a reunião semanal,""
