data,hora,evento,local
3 de janeiro de 2007,18:00,O Presidente da República recebe os cumprimentos dos Embaixadores de Portugal acreditados junto de vários estados e organizações internacionais.,""
4 de janeiro de 2007,15:30,O Presidente da República recebe os cumprimentos de Ano Novo dos Chefes dos Estados-Maiores das Forças Armadas,""
4 de janeiro de 2007,17:00,O Presidente da República recebe o Primeiro-Ministro para a reunião semanal,""
5 de janeiro de 2007,11:00,O Presidente da República recebe os cumprimentos de Ano Novo do Presidente do Supremo Tribunal de Justiça,""
5 de janeiro de 2007,11:15,O Presidente da República recebe os cumprimentos de Ano Novo do Presidente e dos juízes do Tribunal Constitucional,""
5 de janeiro de 2007,11:45,O Presidente da República recebe os cumprimentos de Ano Novo do Presidente do Supremo Tribunal Administrativo,""
5 de janeiro de 2007,12:00,O Presidente da República recebe os cumprimentos de Ano Novo do Presidente do Tribunal de Contas,""
5 de janeiro de 2007,12:15,O Presidente da República recebe os cumprimentos de Ano Novo do Procurador-Geral da República,""
6 de janeiro de 2007,18:00,"O Presidente da República recebe dois grupos tradicionais de cantares que cantarão as Janeiras

- Palácio de Belém",""
7 de janeiro de 2007,13:00,"O Presidente da República participa num almoço comemorativo do 225º aniversário do Martinho da Arcada

- Martinho da Arcada, Praça do Comércio, Lisboa",""
8 de janeiro de 2007,11:15,"O Presidente da República recebe os cumprimentos de Ano Novo do Corpo Diplomático acreditado em Portugal, proferindo uma intervenção

- Palácio de Queluz",""
8 de janeiro de 2007,15:30,"O Presidente da República recebe uma delegação do Partido Socialista, que lhe apresentará cumprimentos de Ano Novo",""
8 de janeiro de 2007,16:30,"O Presidente da República recebe uma delegação do Partido Social Democrata, que lhe apresentará cumprimentos de Ano Novo",""
8 de janeiro de 2007,19:30,"O Presidente da República assiste a um concerto e oferece um jantar ao Corpo Diplomático acreditado em Portugal

- Palácio da Ajuda, Lisboa",""
9 de janeiro de 2007,11:30,O Presidente da República preside à reunião do Conselho Superior de Defesa Nacional,""
9 de janeiro de 2007,22:00,"O Presidente da República parte para uma Visita de Estado à Índia.



(Ver Agenda na página oficial da Visita de Estado à Índia, neste sítio da Presidência da República)",""
